FileName,SN
Amax_cwd.xlsx,Amax (umol CO2 m-2 s-1)
Asat_cwd.xlsx,Asat (umol CO2 m-2 s-1)
chi_cwd.xlsx,ci/ca (unitless)
DResp_cwd.xlsx,Rd (umol CO2 m-2 s-1)
Huber_cwd.xlsx,AS/AL(cm-2 m-2)
Jmax_ACi_25C_cwd.xlsx,Jmax25 (umol CO2 m-2 s-1)
Ks_cwd.xlsx,Kp (kg m-1 MPa-1 s-1)
LMA_cwd.xlsx,LMA (g m-2)
mean_annual_temp.xlsx,Mean annual temparure (Celsius)
moisture.xlsx,Soil volumetric water content (%)
Narea_cwd.xlsx,Narea (g m-2)
Ngkg_cwd.xlsx,Nmass (g/kg)
Pgkg_cwd.xlsx,Pmass (g/kg)
Turgor_cwd.xlsx,TLP (MPa)
TwigDensity.g.cm3_cwd.xlsx,Twig density (g cm-3)
Vcmax_ACi_25C_cwd.xlsx,Vcmax25(umol CO2 m-2 s-1)
WD_cwd.xlsx,Wood density (g cm-3)
TreeHeight_cwd.xlsx,Hmax (m)
Parea_cwd.xlsx,Parea (g m-2)
VesselDensity_cwd.xlsx,Vessel density (mm-2)
VesselDiameter_cwd.xlsx,Vessel diameter (micron)
StemRespiration_cwd.xlsx,Rstem_stem (umol m-2 s-1)
Specific_StemRespiration_cwd.xlsx,Rstem_leaf (umol m-2 s-1)
Mean_annul_precipitation.xlsx,Mean annual precipitation (mm)
